,index,release date,pack_id,pack name,PC1,PC2,PC3
0,0,2021-03-02,SP20,Throwback Fit Kit,-16.610132706459837,10.295905531612991,-10.01408114136845
1,1,2021-03-02,SP21,Country Kitchen Kit,7.3052565671669525,-7.161404306271094,-12.977906430593235
2,2,2021-03-02,SP22,Bust The Dust Kit,-2.9809597059617396,2.900608898167862,-13.938402590385502
3,3,2021-05-18,SP23,Courtyard Oasis Kit,0.889418624100492,-1.8051935334550357,-8.028213987511107
4,4,2021-10-05,SP24,Fashion Street-Set,-9.99109389310101,24.24302342466405,-1.297958695931419
5,5,2021-08-26,SP25,Industrial Loft Kit,7.387787439265401,-7.048263400867043,-11.043514552101232
6,6,2021-10-05,SP26,Incheon Arrivals Kit,-8.014557784876228,9.596077694370614,-10.170701945984977
7,7,2021-12-02,SP28,Modern Menswear Kit,-23.09004600259877,11.123948352631404,-3.329387162261915
8,8,2021-11-09,SP29,Blooming Rooms Kit,59.795463987151855,25.45038525871012,10.594005052008637
9,9,2022-02-03,SP30,Carnaval Streetwear Kit,-19.631989307018568,11.680000722079535,-4.867296009415511
10,10,2022-03-21,SP31,Decor to the Max Kit,5.497887496987962,-7.185214713857443,-7.614821708973992
11,11,2022-05-26,SP32,Moonlight Chic Kit,-15.15019192575574,10.426450084326161,-5.902164103857118
12,12,2022-05-26,SP33,Little Campers Kit,8.296025352546645,-6.770100793572855,-8.127622357879057
13,13,2022-09-01,SP34,First Fits Kit,-15.414336937993925,6.898587950896586,-5.220688589523683
14,14,2022-09-14,SP35,Desert Luxe Kit,54.593685306887146,27.114708478791425,9.118053529477237
15,15,2022-11-10,SP36,Pastel Pop Kit,18.03463368777347,-10.087389484164886,-8.680969397429944
16,16,2022-11-10,SP37,Everyday Clutter Kit,19.245632236552442,-14.880310732755932,-8.736184112061588
17,17,2023-01-19,SP38,Simtimates Collection Kit,-15.516491693552751,6.6305069574179365,-2.8974961059574817
18,18,2023-01-19,SP39,Bathroom Clutter Kit,8.372644917091227,-14.462882674173235,-7.775810341956945
19,19,2023-04-20,SP40,Greenhouse Haven Kit,19.902580612581186,-15.335387379959494,-1.6611134028585677
20,20,2023-04-20,SP41,Basement Treasures Kit,2.3166222724405965,-12.310460567535566,-2.130208628047887
21,21,2023-06-01,SP42,Grunge Revival Kit,-11.58794132543828,3.958301573512887,-0.593136502817187
22,22,2023-06-01,SP43,Book Nook Kit,29.680679568002443,-13.498882322949346,1.2186870384687436
23,23,2023-09-07,SP44,Poolside Splash Kit,-17.833719589783097,5.113421801060705,1.768278125775663
24,24,2023-09-07,SP45,Modern Luxe Kit,12.152555925610013,-12.20006837936238,3.057117402314829
25,25,2024-01-18,SP47,Castle Estate Kit,-8.974354319462478,-5.314604761946887,14.682978610268183
26,26,2024-01-18,SP48,Goth Galore Kit,-16.608205846768854,3.7015929987484246,7.412491968415067
27,27,2024-04-18,SP50,Urban Homage Kit,-21.428789815539197,6.946312152791275,6.665347291209338
28,28,2024-04-18,SP51,Party Essentials Kit,-17.904028778468962,-1.4075051042189777,10.444639806791777
29,29,2024-05-30,SP52,Riviera Retreat Kit,-9.418940872322752,-8.422627937792216,15.31575655514255
30,30,2024-05-30,SP53,Cozy Bistro Kit,-9.45732147727818,-8.945621461518234,16.516278462477786
31,31,2024-09-19,SP54,Artist Studio Kit,-8.66090013464797,-9.89321130502148,18.819824024991824
32,32,2024-09-19,SP55,Storybook Nursery Kit,-5.196871877129598,-9.350703020359875,19.394219899575123
