,pack_code,pack_type,release date,pack name,score_type,category score,mean score,differential
165,EP04,Expansion Packs,2017-11-10,Cats & Dogs,cas,6.0738,6.871033333333334,-0.7972333333333337
166,EP05,Expansion Packs,2018-06-22,Seasons,cas,6.9536,7.665166666666667,-0.7115666666666671
167,EP06,Expansion Packs,2018-11-16,Get Famous,cas,5.7903,5.8646,-0.07430000000000003
168,EP07,Expansion Packs,2019-06-21,Island Living,cas,6.4972,6.4257,0.07150000000000034
169,EP08,Expansion Packs,2019-11-15,Discover University,cas,7.5216,7.103133333333333,0.4184666666666672
170,EP09,Expansion Packs,2020-06-05,Eco Lifestyle,cas,6.559,6.9933000000000005,-0.43430000000000035
171,EP10,Expansion Packs,2020-11-13,Snowy Escape,cas,7.2541,7.103466666666667,0.1506333333333334
172,EP11,Expansion Packs,2021-07-22,Cottage Living,cas,8.4265,8.633333333333333,-0.2068333333333321
173,EP12,Expansion Packs,2022-07-28,High School Years,cas,7.9567,7.270833333333333,0.6858666666666666
174,EP13,Expansion Packs,2023-03-16,Growing Together,cas,7.7711,7.9252,-0.15410000000000057
175,EP14,Expansion Packs,2023-07-20,Horse Ranch,cas,7.2665,7.462666666666666,-0.1961666666666666
176,EP15,Expansion Packs,2023-12-07,For Rent,cas,6.7663,7.0477,-0.28139999999999965
177,EP16,Expansion Packs,2024-07-25,Lovestruck,cas,7.6685,7.213666666666666,0.4548333333333341
178,GP01,Game Packs,2015-01-13,Outdoor Retreat,cas,4.2971,4.870433333333334,-0.5733333333333333
179,GP02,Game Packs,2015-07-06,Spa Day,cas,5.3087,5.820399999999999,-0.5116999999999994
180,GP03,Game Packs,2016-06-07,Dine Out,cas,4.4414,5.421499999999999,-0.9800999999999993
181,GP04,Game Packs,2017-01-24,Vampires,cas,6.2061,6.7632,-0.5571000000000002
182,GP05,Game Packs,2017-05-30,Parenthood,cas,6.3232,7.028766666666667,-0.7055666666666669
183,GP06,Game Packs,2018-02-27,Jungle Adventure,cas,5.6103,6.2453666666666665,-0.6350666666666669
184,GP07,Game Packs,2019-02-26,StrangerVille,cas,5.7439,6.1722,-0.4283000000000001
185,GP08,Game Packs,2019-09-10,Realm of Magic,cas,6.4886,6.719666666666666,-0.2310666666666661
186,GP09,Game Packs,2020-09-08,Star Wars: Journey to Batuu,cas,3.883,4.240933333333333,-0.35793333333333344
187,GP10,Game Packs,2021-06-01,Dream Home Decorator,cas,7.4467,7.7453,-0.2986000000000004
188,GP11,Game Packs,2022-02-23,My Wedding Stories,cas,7.4687,6.7285,0.7401999999999997
189,GP12,Game Packs,2022-06-16,Werewolves,cas,7.3194,7.3262,-0.006800000000000139
