,survey_id,pack_type,total packs owned,number free,Percent Free,Purchased
149,40,Expansion Packs,8,0,0.0,8
150,40,Game Packs,3,0,0.0,3
151,40,Kits,1,1,1.0,0
152,40,Stuff Packs,6,2,0.3333333333333333,4
153,41,Expansion Packs,8,0,0.0,8
154,41,Game Packs,6,0,0.0,6
155,41,Stuff Packs,17,0,0.0,17
156,42,Expansion Packs,16,0,0.0,16
157,42,Game Packs,12,0,0.0,12
158,42,Kits,33,1,0.030303030303030304,32
159,42,Stuff Packs,20,0,0.0,20
160,43,Expansion Packs,6,0,0.0,6
161,43,Game Packs,2,1,0.5,1
162,43,Kits,3,3,1.0,0
163,43,Stuff Packs,6,4,0.6666666666666666,2
164,44,Expansion Packs,16,0,0.0,16
165,44,Game Packs,9,0,0.0,9
166,44,Kits,3,1,0.3333333333333333,2
167,44,Stuff Packs,13,3,0.23076923076923078,10
168,45,Expansion Packs,14,0,0.0,14
169,45,Game Packs,10,0,0.0,10
170,45,Kits,16,1,0.0625,15
171,45,Stuff Packs,18,0,0.0,18
172,46,Expansion Packs,11,0,0.0,11
173,46,Game Packs,7,0,0.0,7
174,46,Kits,1,1,1.0,0
175,46,Stuff Packs,8,3,0.375,5
176,47,Expansion Packs,14,0,0.0,14
177,47,Game Packs,6,0,0.0,6
178,47,Kits,5,0,0.0,5
179,47,Stuff Packs,9,2,0.2222222222222222,7
180,48,Expansion Packs,12,0,0.0,12
181,48,Game Packs,9,0,0.0,9
182,48,Kits,1,1,1.0,0
183,48,Stuff Packs,16,0,0.0,16
184,49,Expansion Packs,4,0,0.0,4
185,49,Game Packs,2,0,0.0,2
186,49,Kits,1,1,1.0,0
187,49,Stuff Packs,2,1,0.5,1
188,50,Expansion Packs,16,0,0.0,16
189,50,Game Packs,12,0,0.0,12
190,50,Kits,33,1,0.030303030303030304,32
191,50,Stuff Packs,20,0,0.0,20
192,51,Expansion Packs,8,0,0.0,8
193,51,Game Packs,7,0,0.0,7
194,51,Kits,3,2,0.6666666666666666,1
195,51,Stuff Packs,14,0,0.0,14
196,52,Expansion Packs,15,0,0.0,15
197,52,Game Packs,7,0,0.0,7
198,52,Kits,14,1,0.07142857142857142,13
199,52,Stuff Packs,14,0,0.0,14
200,53,Expansion Packs,16,0,0.0,16
201,53,Game Packs,12,0,0.0,12
202,53,Kits,4,1,0.25,3
203,53,Stuff Packs,19,0,0.0,19
204,54,Expansion Packs,10,0,0.0,10
205,54,Game Packs,4,0,0.0,4
206,54,Kits,4,0,0.0,4
207,54,Stuff Packs,8,0,0.0,8
208,55,Expansion Packs,16,0,0.0,16
209,55,Game Packs,12,0,0.0,12
210,55,Kits,33,0,0.0,33
211,55,Stuff Packs,20,0,0.0,20
212,56,Expansion Packs,1,0,0.0,1
213,56,Kits,1,1,1.0,0
214,56,Stuff Packs,1,1,1.0,0
215,57,Expansion Packs,16,0,0.0,16
216,57,Game Packs,12,0,0.0,12
217,57,Kits,10,0,0.0,10
218,57,Stuff Packs,20,0,0.0,20
219,58,Expansion Packs,16,0,0.0,16
220,58,Game Packs,12,1,0.08333333333333333,11
221,58,Kits,13,1,0.07692307692307693,12
222,58,Stuff Packs,16,4,0.25,12
223,59,Expansion Packs,16,0,0.0,16
