,index,release date,pack_id,pack name,PC1,PC2,PC3
0,0,2015-05-19,SP01,Luxury Party Stuff,-10.440450608567982,-20.842466459408087,-26.22584144132912
1,1,2015-06-16,SP02,Perfect Patio Stuff,-20.055209399004323,-11.491782309927913,-1.3449456066439482
2,2,2015-08-11,SP03,Cool Kitchen Stuff,-21.25364570114195,-6.933094428092822,2.4807963459242948
3,3,2015-09-29,SP04,Spooky Stuff,-22.81041066844839,-2.4876890360389496,-10.261172145368226
4,4,2016-01-12,SP05,Movie Hangout Stuff,-12.029141367961177,-5.783186457563798,11.398624660347341
5,5,2016-02-09,SP06,Romantic Garden Stuff,39.578277100503634,-12.459565936334684,-8.338981946273275
6,6,2016-06-28,SP07,Kids Room Stuff,-15.955371568374959,-5.7594607007299015,10.646265505608003
7,7,2016-07-19,SP08,Backyard Stuff,25.998815214813817,-14.90834007246507,-8.78729416717126
8,8,2016-12-06,SP09,Vintage Glamour Stuff,-6.050833320675381,-5.980194322204908,8.15853575186134
9,9,2017-03-29,SP10,Bowling Night Stuff,-20.69275754349281,-5.899193833841605,4.888015100289174
10,10,2017-06-20,SP11,Fitness Stuff,-24.416967688108045,-3.4647228606760105,1.6709215166421374
11,11,2017-08-24,SP12,Toddler Stuff,-13.36237653520384,-2.7424019538190203,12.617563147615186
12,12,2018-01-16,SP13,Laundry Day Stuff,27.21009846723119,1.9469702115971814,19.594767018489673
13,13,2018-03-13,SP14,My First Pet Stuff,35.50447592183522,-10.494170709863438,-13.504611582121276
14,14,2019-08-13,SP15,Moshino Stuff Pack,-7.7630961805722345,6.471348031954889,6.49078978784793
15,15,2020-01-21,SP16,Tiny Living,38.267120975361884,4.601872826720817,11.558844614779535
16,16,2020-07-28,SP17,Nifty Knitting,9.219956795694891,15.917926132929754,12.709409473659681
17,17,2021-01-26,SP18,Paranormal,9.544194562981195,18.315515408898836,-2.937965674707381
18,18,2023-09-28,SP46,Home Chef Hustle Stuff,-1.7362277813918845,28.86089957739815,-8.734600886119532
19,19,2024-02-29,SP49,Crystal Creations Stuff Pack,-8.756450675478824,33.13173689146659,-22.079119473330252
